Day,Period,Room_ID,Course_ID,Subcourse_ID,Length,Week_Signal,Week_Label,Timeslot_Index
0,0,r27,c0763,c0763_lec1,2,0,每周,0
0,0,r31,c0821,c0821_lec2,2,0,每周,0
0,0,r36,c0462,c0462_lec2,2,0,每周,0
0,0,r51,c0961,c0961_lec5,2,0,每周,0
0,0,rA,c0128,c0128_lec2,2,0,每周,0
0,0,rB,c0209,c0209_lec2,2,0,每周,0
0,0,rD,c0041,c0041_lec1,2,0,每周,0
0,0,rDS2,c0243,c0243_lec2,2,0,每周,0
0,0,rE,c0429,c0429_lec2,2,0,每周,0
0,0,rF,c0199,c0199_lec3,2,0,每周,0
0,0,rH,c0006,c0006_lec3,2,0,每周,0
0,0,rL,c0051,c0051_lec1,2,0,每周,0
0,1,r27,c0462,c0462_lec3,2,0,每周,1
0,1,r37,c0011,c0011_lec2,2,0,每周,1
0,1,r38,c0965,c0965_lec4,2,0,每周,1
0,1,r51,c0294,c0294_lec3,2,0,每周,1
0,1,r52,c0959,c0959_lec6,2,0,每周,1
0,1,rA,c0519,c0519_lec1,2,0,每周,1
0,1,rB,c0101,c0101_lec2,2,0,每周,1
0,1,rD,c0935,c0935_lec3,2,0,每周,1
0,1,rDS1,c0742,c0742_lec1,2,0,每周,1
0,1,rDS2,c0202,c0202_lec3,2,0,每周,1
0,1,rE,c0243,c0243_lec3,2,0,每周,1
0,1,rF,c0792,c0792_lec2,2,0,每周,1
0,1,rH,c0228,c0228_lec2,2,0,每周,1
0,1,rL,c0046,c0046_lec3,2,0,每周,1
0,2,r25,c0427,c0427_lec2,2,0,每周,2
0,2,r27,c0439,c0439_lec3,2,0,每周,2
0,2,r31,c0951,c0951_lec1,2,0,每周,2
0,2,r52,c0199,c0199_lec1,2,0,每周,2
0,2,rA,c0216,c0216_lec3,2,0,每周,2
0,2,rB,c0388,c0388_lec5,2,0,每周,2
0,2,rD,c0961,c0961_lec3,2,0,每周,2
0,2,rDS2,c0965,c0965_lec6,2,0,每周,2
0,2,rE,c0823,c0823_lec2,2,0,每周,2
0,2,rF,c0959,c0959_lec4,2,0,每周,2
0,2,rH,c0099,c0099_lec1,2,0,每周,2
0,2,rL,c0261,c0261_lec2,2,0,每周,2
0,3,r27,c0513,c0513_lec1,2,0,每周,3
0,3,r38,c0450,c0450_lec1,2,0,每周,3
0,3,r50,c0026,c0026_lec2,2,0,每周,3
0,3,r51,c0767,c0767_lec3,2,0,每周,3
0,3,r52,c0109,c0109_lec3,2,0,每周,3
0,3,rA,c0324,c0324_lec1,2,0,每周,3
0,3,rB,c0228,c0228_lec1,2,0,每周,3
0,3,rD,c0949,c0949_lec5,2,0,每周,3
